id	precision	name	storage	standard	purpose	range	eigenvectors	method	note		
1	c	heev	full	standard	all eigenvalues;optionally eigenvectors	No	original	QR	Þrst reduced to real tridiagonal form	Doxygen/docs/html/cheev_8f.html	487
2	z	heev	full	standard	all eigenvalues;optionally eigenvectors	No	original	QR	Þrst reduced to real tridiagonal form	Doxygen/docs/html/zheev_8f.html	488
3	c	heevd	full	standard	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/cheevd_8f.html	489
4	z	heevd	full	standard	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/zheevd_8f.html	490
5	c	heevr	full	standard	selected eigenvalues;optionally eigenvectors	Yes	original	Relatively robust representation	reduced to real tridiagonal form first	Doxygen/docs/html/cheevr_8f.html	491
6	z	heevr	full	standard	selected eigenvalues;optionally eigenvectors	Yes	original	Relatively robust representation	reduced to real tridiagonal form first	Doxygen/docs/html/zheevr_8f.html	492
7	c	heevx	full	standard	selected eigenvalues;optionally eigenvectors	Yes	original	"method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/cheevx_8f.html	493
8	z	heevx	full	standard	selected eigenvalues;optionally eigenvectors	Yes	original	"method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/zheevx_8f.html	494
9	c	hpev	packed	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to real tridiagonal form first	Doxygen/docs/html/chpev_8f.html	495
10	z	hpev	packed	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to real tridiagonal form first	Doxygen/docs/html/zhpev_8f.html	496
11	c	hpevd	packed	standard	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/chpevd_8f.html	497
12	z	hpevd	packed	standard	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/zhpevd_8f.html	498
13	c	hpevx	packed	standard	selected eigenvalues;optionally eigenvectors	Yes	original	"method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/chpevx_8f.html	499
14	z	hpevx	packed	standard	selected eigenvalues;optionally eigenvectors	Yes	original	"method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/zhpevx_8f.html	500
15	c	hbev	band	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to real tridiagonal form first	Doxygen/docs/html/chbev_8f.html	501
16	z	hbev	band	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to real tridiagonal form first	Doxygen/docs/html/zhbev_8f.html	502
17	c	hbevd	band	standard	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/chbevd_8f.html	503
18	z	hbevd	band	standard	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/zhbevd_8f.html	504
19	c	hbevx	band	standard	selected eigenvalues;optionally eigenvectors	Yes	original	"method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/chbevx_8f.html	505
20	z	hbevx	band	standard	selected eigenvalues;optionally eigenvectors	Yes	original	"method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/zhbevx_8f.html	506
21	c	hegv	full	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/chegv_8f.html	505
22	z	hegv	full	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/zhegv_8f.html	506
23	c	hegvd	full	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/chegvd_8f.html	517
